bd_swab_id,qpcr_plate_id,average_ct,average_target_quant,standard,qpcr_date,qpcr_lab
180514-08-PA12-LICL,SERDP_82_080218,36.81364822,3.3832528589999997,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180514-08-TN04-LISP,SERDP_96_092818,37.202,15.635,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180514-09-PA12-LICL,SERDP_82_080218,37.39911652,2.223409414,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180514-09-TN04-LISP,SERDP_96_092818,36.193,30.587999999999997,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180514-10-PA12-LICL,SERDP_82_080218,37.01174164,2.9352703089999994,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180514-10-TN04-LISP,SERDP_96_092818,31.875,540.4649999999999,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180514-11-TN04-LISP,SERDP_96_092818,33.419,193.479,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180514-12-TN04-LISP,SERDP_96_092818,35.433,50.709,plasmid-pisces,2018-09-28T00:00:00Z,rz_lab
180514-14-PA12-PSCR,SERDP_82_080218,38.39756775,1.08667922,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180514-15-PA12-PSCR,SERDP_82_080218,31.31827164,174.01902769999998,plasmid-pisces,2018-08-02T00:00:00Z,rz_lab
180514-18-PA12-PSCR,SERDP_84_08082018,23.986,48994.73,plasmid-pisces,2018-08-08T00:00:00Z,rz_lab
180514-20-PA12-PSCR,SERDP_84_08082018,34.927,28.02,plasmid-pisces,2018-08-08T00:00:00Z,rz_lab
180514-22-PA12-PSCR,SERDP_84_08082018,39.518,1.221,plasmid-pisces,2018-08-08T00:00:00Z,rz_lab
180514-24-PA12-PSCR,SERDP_83_08032018,27.55514526,2934.1589360000003,plasmid-pisces,2018-08-03T00:00:00Z,rz_lab
180514-26-PA12-PSCR,SERDP_83_08032018,34.13863373,27.312265400000005,plasmid-pisces,2018-08-03T00:00:00Z,rz_lab
180514-29-PA12-PSCR,SERDP_83_08032018,34.8131752,16.914119720000002,plasmid-pisces,2018-08-03T00:00:00Z,rz_lab
180514-30-PA12-PSCR,SERDP_83_08032018,34.73408127,17.89168739,plasmid-pisces,2018-08-03T00:00:00Z,rz_lab
180514-31-PA12-PSCR,SERDP_83_08032018,37.51979828,2.4729022979999997,plasmid-pisces,2018-08-03T00:00:00Z,rz_lab
