bd_swab_id,extraction_plate_id,extraction_date,qpcr_plate_id,qpcr_date,average_ct,average_copy_number,average_zoospores,extract_lab,qpcr_lab,standard,master_mix,qpcr_machine,extraction_kit,replicate,result,swab_type
190703-12-PA03-ANAM,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,38.65296936,0.9580858950000001,38.32343578,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
190703-13-PA01-LISY,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190703-13-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,38.69797134,0.929916918,37.19667673,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
190703-14-PA01-LISY,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190703-14-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190703-15-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190703-16-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,NA,NA,NA,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,n,mw113
190703-17-PA03-LIPI,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,35.57735825,7.364793776999999,294.5917511,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
190703-18-PA03-ANAM,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,35.25923157,9.094504356000002,363.7801743,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
190703-19-PA03-ANAM,Extraction Plate 5 2019 VS,2019-08-08T00:00:00Z,VS19-06plate5field,2019-08-09T00:00:00Z,35.05479431,10.414913179999997,416.5965271,PLE,PLE,pisces,bioline,quantstudio_3,qiagen_dneasy,singley,p,mw113
